5,"Thu","LUL","Pimlico","Oxford Circus","1000","16:40","1012","16:52","-------","PPY","N",160,160,"XX","PAYG"
6,"Fri","LUL","Uxbridge","Harrow On The Hill","1000","16:40","1031","17:11","Z0110","TKT","N",0,0,"XX","Freedom Pass (Elderly)"
6,"Fri","LUL","Seven Sisters","Bow Road","1000","16:40","1041","17:21","Z0203","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
6,"Fri","LUL","Holborn","Hammersmith D","1000","16:40","1029","17:09","-------","PPY","N",220,220,"XX","PAYG"
6,"Fri","LUL","Westminster","Turnham Green","1000","16:40","1026","17:06","-------","PPY","N",220,220,"XX","PAYG"
5,"Thu","LUL","Arnos Grove","Angel","1000","16:40","1034","17:14","Z0110","TKT","N",0,0,"XX","Freedom Pass (Disabled)"
5,"Thu","LUL","London Bridge","Archway","1000","16:40","1029","17:09","-------","PPY","N",220,220,"XX","PAYG"
2,"Mon","LUL","Marble Arch","Queensway","1000","16:40","1010","16:50","Z0103","TKT","N",0,0,"XX","LUL Travelcard-1 Month"
5,"Thu","LUL","Oxford Circus","Tooting Broadway","1000","16:40","1028","17:08","Z0103","TKT","N",0,0,"XX","LUL Travelcard-1 Month"
3,"Tue","LUL","East Finchley","Colliers Wood","1000","16:40","1061","17:41","Z0103","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
5,"Thu","LUL","Kings Cross St Pancras","Covent Garden","1000","16:40","1009","16:49","Z0102","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
2,"Mon","LUL","Oxford Circus","Kings Cross St Pancras","1000","16:40","1010","16:50","-------","PPY","N",160,160,"XX","PAYG"
4,"Wed","LUL","Parsons Green","North Greenwich","1000","16:40","1051","17:31","Z0110","TKT","N",0,0,"XX","Freedom Pass (Elderly)"
3,"Tue","LUL","Earls Court","Tottenham Court Rd","1000","16:40","1023","17:03","Z0103","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
4,"Wed","LUL","Paddington","Charing Cross","1000","16:40","1017","16:57","Z0110","TKT","N",0,0,"XX","Staff Pass - Staff Nominee"
5,"Thu","LUL","Oxford Circus","Bank","1000","16:40","1016","16:56","-------","PPY","N",160,160,"XX","PAYG"
3,"Tue","LUL","Seven Sisters","Finsbury Park","1000","16:40","1009","16:49","Z0110","TKT","N",0,0,"XX","Freedom Pass (Disabled)"
2,"Mon","LUL","Oxford Circus","Epping","1000","16:40","1057","17:37","-------","PPY","N",380,380,"XX","PAYG"
3,"Tue","LUL","Mansion House","Earls Court","1000","16:40","1024","17:04","-------","PPY","N",160,160,"XX","PAYG"
